S2,S3,Objective
-0.085858586,-0.057575758,-0.086434343
-0.071717172,-0.057575758,-0.072292929
-0.057575758,-0.057575758,-0.058151515
-0.043434343,-0.057575758,-0.044010101
-0.029292929,-0.057575758,-0.029868687
-0.015151515,-0.057575758,-0.015727273
-0.001010101,-0.057575758,-0.001585859
0.013131313,-0.057575758,0.012555556
0.027272727,-0.057575758,0.02669697
0.041414141,-0.057575758,0.040838384
0.055555556,-0.057575758,0.054979798
0.06969697,-0.057575758,0.069121212
0.083838384,-0.057575758,0.083262626
0.097979798,-0.057575758,0.09740404
0.112121212,-0.057575758,0.111545455
0.126262626,-0.057575758,0.125686869
0.14040404,-0.057575758,0.139828283
0.154545455,-0.057575758,0.153969697
0.168686869,-0.057575758,0.168111111
0.182828283,-0.057575758,0.182252525
0.196969697,-0.057575758,0.196393939
0.211111111,-0.057575758,0.210535354
0.225252525,-0.057575758,0.224676768
0.239393939,-0.057575758,0.238818182
0.253535354,-0.057575758,0.252959596
0.267676768,-0.057575758,0.26710101
0.281818182,-0.057575758,0.281242424
0.295959596,-0.057575758,0.295383838
0.31010101,-0.057575758,0.309525253
0.324242424,-0.057575758,0.323666667
0.338383838,-0.057575758,0.337808081
0.352525253,-0.057575758,0.351949495
0.366666667,-0.057575758,0.366090909
0.380808081,-0.057575758,0.380232323
0.394949495,-0.057575758,0.394373737
0.409090909,-0.057575758,0.408515152
0.423232323,-0.057575758,0.422656566
0.437373737,-0.057575758,0.43679798
0.451515152,-0.057575758,0.450939394
0.465656566,-0.057575758,0.465080808
0.47979798,-0.057575758,0.479222222
0.493939394,-0.057575758,0.493363636
0.508080808,-0.057575758,0.507505051
0.522222222,-0.057575758,0.521646465
0.536363636,-0.057575758,0.535787879
0.550505051,-0.057575758,0.549929293
0.564646465,-0.057575758,0.564070707
0.578787879,-0.057575758,0.578212121
0.592929293,-0.057575758,0.592353535
0.607070707,-0.057575758,0.606494949
0.621212121,-0.057575758,0.620636364
0.635353535,-0.057575758,0.634777778
0.649494949,-0.057575758,0.648919192
0.663636364,-0.057575758,0.663060606
0.677777778,-0.057575758,0.67720202
0.691919192,-0.057575758,0.691343434
0.706060606,-0.057575758,0.705484848
0.72020202,-0.057575758,0.719626263
0.734343434,-0.057575758,0.733767677
0.748484848,-0.057575758,0.747909091
0.762626263,-0.057575758,0.762050505
0.776767677,-0.057575758,0.776191919
0.790909091,-0.057575758,0.790333333
